,id,model_answer,confidence,correct_answer,is_correct
477,7844,0,5,0,1
479,1692,0,1,0,1
481,7930,1,1,1,1
482,856,2,5,2,1
483,1110,0,1,0,1
484,1084,1,5,1,1
485,9955,2,5,2,1
486,1282,1,5,1,1
487,10603,2,5,2,1
488,5378,0,1,0,1
489,10547,0,5,0,1
490,9963,0,5,0,1
491,3312,2,3,2,1
492,11115,0,5,0,1
493,9498,0,3,0,1
495,8126,2,5,2,1
496,11112,2,3,2,1
497,2407,2,5,2,1
498,218,0,1,0,1
499,5662,0,1,0,1
500,1457,2,5,2,1
502,6018,2,3,2,1
503,427,0,5,0,1
504,7612,2,5,2,1
505,2199,2,5,2,1
506,6151,1,5,1,1
507,9033,1,5,1,1
508,5138,1,4,1,1
509,10098,2,4,2,1
510,9238,0,3,0,1
511,3846,2,3,2,1
512,9556,1,3,1,1
513,7191,1,5,1,1
514,3617,2,5,2,1
515,9100,1,5,1,1
516,8740,1,5,1,1
517,927,1,4,1,1
518,608,2,3,2,1
519,967,2,5,2,1
520,2516,0,5,0,1
521,6840,2,5,2,1
523,10254,0,4,0,1
524,8386,2,5,2,1
526,5494,2,2,2,1
527,2152,0,1,0,1
528,3058,0,1,0,1
529,33,1,5,1,1
530,4439,2,5,2,1
531,8685,1,5,1,1
532,2167,0,5,0,1
534,3061,1,5,1,1
535,6855,2,5,2,1
536,9724,2,5,2,1
537,9917,0,5,0,1
538,4064,1,1,1,1
539,1965,2,5,2,1
540,4127,1,5,1,1
541,3399,2,5,2,1
542,7514,1,5,1,1
543,8935,2,5,2,1
544,8095,1,4,1,1
545,1347,1,5,1,1
546,8750,1,5,1,1
547,3063,0,5,0,1
548,8157,0,5,0,1
549,8889,1,5,1,1
552,11092,1,3,1,1
553,9271,1,5,1,1
554,10689,0,5,0,1
555,3952,2,2,2,1
556,1393,1,5,1,1
557,9753,0,5,0,1
558,9197,1,5,1,1
559,2629,2,5,2,1
560,8526,1,4,1,1
561,9566,0,3,0,1
562,9913,0,5,0,1
563,4112,2,3,2,1
564,9757,1,5,1,1
565,6153,1,5,1,1
567,7033,2,5,2,1
568,7393,0,4,0,1
569,1522,2,4,2,1
570,4040,2,2,2,1
571,4012,0,1,0,1
572,10857,1,5,1,1
573,12320,1,3,1,1
574,13759,0,5,0,1
575,14247,0,5,0,1
576,14734,1,1,1,1
577,88,0,5,0,1
578,4226,2,5,2,1
579,6021,2,5,2,1
580,2613,1,4,1,1
581,7775,0,4,0,1
583,12721,1,4,1,1
584,12854,1,4,1,1
585,735,0,5,0,1
586,10529,1,4,1,1
587,150,0,5,0,1
588,9623,1,5,1,1
589,4359,2,5,2,1
590,13990,1,1,1,1
591,2124,0,1,0,1
592,15635,2,3,0,0
593,12425,1,5,1,1
594,11311,0,5,0,1
595,10419,1,5,1,1
596,930,1,5,1,1
597,9601,2,5,2,1
598,1799,0,5,0,1
599,5107,1,5,1,1
600,4034,0,1,0,1
601,15041,2,4,2,1
602,13973,2,5,2,1
603,2616,0,1,0,1
604,15061,0,4,0,1
605,123,1,5,1,1
606,426,1,4,1,1
607,3646,0,1,0,1
608,15055,2,5,2,1
609,2498,2,1,2,1
610,10465,1,5,1,1
611,9697,2,5,2,1
612,1071,1,5,1,1
613,15533,0,3,1,0
616,13899,2,5,2,1
617,8530,0,1,0,1
618,563,1,5,1,1
620,13361,1,4,1,1
621,2435,2,4,2,1
622,14670,0,1,0,1
623,11026,0,1,0,1
624,5861,1,5,1,1
625,6908,2,2,2,1
626,4191,0,5,0,1
627,14708,2,3,2,1
628,14984,0,3,0,1
629,13644,0,3,0,1
630,3589,0,4,0,1
631,3154,2,1,2,1
633,14996,0,1,0,1
634,6730,2,5,2,1
635,8471,2,5,2,1
636,4069,0,4,0,1
637,8248,1,1,1,1
638,11283,1,5,1,1
639,2315,1,5,1,1
641,9864,1,1,1,1
642,7814,0,1,0,1
643,5549,1,5,1,1
644,13089,2,4,2,1
645,10474,1,2,1,1
646,11977,1,5,1,1
647,7589,2,4,2,1
648,8348,1,1,1,1
649,2798,2,2,2,1
650,10905,1,5,1,1
651,6282,2,5,2,1
652,10067,2,5,2,1
653,5070,0,1,0,1
654,4982,1,3,1,1
655,14366,0,1,0,1
659,9978,1,1,1,1
660,2405,0,4,0,1
661,12845,2,4,2,1
662,14495,1,5,1,1
663,4106,1,1,1,1
664,9473,0,5,0,1
667,5453,0,5,0,1
668,4630,0,3,0,1
670,6417,2,5,2,1
671,6883,0,5,0,1
672,1199,1,5,1,1
673,4395,0,5,0,1
674,9438,0,3,0,1
675,1086,2,4,2,1
676,3316,2,5,2,1
677,15367,2,4,0,0
678,3481,1,4,1,1
679,11612,2,3,2,1
680,2122,1,1,1,1
681,8296,2,1,2,1
682,2288,0,1,0,1
683,15287,2,4,0,0
685,2119,0,5,0,1
686,9189,0,5,0,1
687,8991,0,5,0,1
688,7934,0,1,0,1
689,8278,2,5,2,1
690,9707,2,5,2,1
691,5458,0,1,0,1
692,5353,0,5,0,1
693,8732,1,5,1,1
694,1984,2,5,2,1
695,6876,0,1,0,1
696,5030,0,1,0,1
697,1962,1,2,1,1
698,5076,2,5,2,1
699,4643,2,5,2,1
700,8400,2,3,2,1
701,11131,1,5,1,1
702,11126,1,2,1,1
703,5098,2,4,2,1
704,2585,1,2,2,0
705,3341,2,5,2,1
706,8206,1,1,1,1
707,7388,0,1,0,1
708,1632,0,4,0,1
709,6341,2,5,2,1
710,11061,1,5,1,1
711,13206,0,3,0,1
712,11841,0,5,0,1
713,14138,0,1,0,1
714,6942,1,4,1,1
715,13068,2,3,2,1
716,6109,0,5,0,1
717,10036,2,3,2,1
719,1683,0,5,0,1
720,4750,0,2,0,1
721,12710,1,3,1,1
722,6929,0,5,0,1
723,9792,0,1,0,1
724,8279,0,5,0,1
725,9979,0,5,0,1
726,4600,2,3,2,1
727,5156,1,1,1,1
728,1061,0,5,0,1
729,7603,1,5,1,1
730,6536,0,1,0,1
731,10537,2,5,2,1
732,13133,1,4,1,1
733,8290,2,1,2,1
734,5312,2,5,2,1
736,10786,2,1,2,1
737,15465,2,5,1,0
738,8272,1,3,1,1
739,15052,0,1,0,1
740,3070,2,3,2,1
741,10121,1,5,1,1
742,13967,0,5,0,1
743,1714,2,3,2,1
744,8710,2,3,2,1
746,5800,1,3,1,1
747,15417,2,4,1,0
748,9455,2,5,2,1
749,13202,1,2,1,1
750,13570,2,3,2,1
751,11903,2,5,2,1
752,828,1,2,1,1
753,15309,2,4,0,0
754,8047,2,5,2,1
755,10151,1,5,1,1
756,9191,2,5,2,1
757,9315,1,5,1,1
758,11042,2,3,2,1
759,2861,1,4,1,1
760,11717,1,5,1,1
761,14384,1,3,1,1
762,10286,2,1,2,1
764,10968,2,3,2,1
765,907,0,5,0,1
766,9688,0,1,0,1
767,13326,1,1,1,1
768,15949,1,4,0,0
769,14210,0,1,0,1
770,12105,0,5,0,1
771,387,0,5,0,1
772,357,2,5,2,1
773,15926,2,4,2,1
774,15231,1,5,1,1
775,751,1,5,1,1
776,12386,2,1,2,1
777,3425,2,4,2,1
778,7747,1,5,1,1
779,2816,2,3,2,1
780,127,2,5,2,1
781,8271,1,5,1,1
782,4104,1,1,1,1
783,1398,1,3,1,1
784,12888,0,3,0,1
785,3421,0,4,0,1
786,7085,1,4,1,1
788,99,2,5,2,1
790,6192,0,5,0,1
791,708,1,3,1,1
793,4755,2,5,2,1
794,15475,1,4,1,1
795,1662,0,4,0,1
796,8051,2,5,2,1
797,8101,1,5,1,1
798,7583,2,4,2,1
799,7584,0,3,0,1
800,10312,1,1,1,1
801,13996,2,3,2,1
802,10127,2,5,2,1
803,4842,2,3,2,1
804,1034,2,5,2,1
805,10083,0,5,0,1
806,5589,1,5,1,1
807,9413,0,5,0,1
808,2084,1,1,1,1
809,2246,2,3,2,1
810,5813,2,5,2,1
811,8627,1,5,1,1
812,4660,1,4,1,1
813,12638,1,2,0,0
814,4881,2,5,2,1
815,7614,0,1,0,1
816,3837,0,4,0,1
817,2150,1,3,1,1
818,13820,1,5,1,1
819,4194,2,3,2,1
820,10796,2,3,2,1
821,1370,2,3,2,1
822,1989,1,5,1,1
823,7598,2,1,2,1
824,12925,1,2,2,0
825,6933,2,5,2,1
826,2698,0,1,0,1
827,7900,2,5,2,1
828,14141,1,5,1,1
829,1310,1,3,1,1
830,902,2,5,2,1
831,4209,0,4,0,1
832,13871,2,5,2,1
833,5100,2,3,2,1
834,2184,2,5,2,1
835,4344,1,5,1,1
836,1328,0,3,0,1
837,8114,1,5,1,1
838,3059,2,4,2,1
839,2325,2,5,2,1
841,1178,1,2,1,1
842,865,0,5,0,1
844,439,2,5,2,1
845,58,2,1,2,1
846,1120,0,5,2,0
847,323,2,4,2,1
848,974,0,5,0,1
849,411,2,5,2,1
850,855,1,4,1,1
852,44,2,5,2,1
853,49,0,1,1,0
854,849,2,5,2,1
855,240,0,4,0,1
856,170,1,5,1,1
857,523,0,5,0,1
858,765,1,3,2,0
859,838,2,5,2,1
860,423,0,5,0,1
863,1941,0,5,0,1
864,5984,2,5,2,1
865,6226,2,3,2,1
866,1511,0,2,2,0
867,3443,1,5,0,0
868,3100,2,3,2,1
869,5354,2,4,2,1
870,1670,2,1,2,1
871,3123,1,5,1,1
872,6526,1,3,1,1
873,5519,0,5,0,1
874,3593,1,3,2,0
875,1242,0,1,0,1
877,3320,0,4,0,1
878,1858,2,2,2,1
879,3460,0,5,0,1
880,4825,0,4,2,0
881,2812,2,3,2,1
882,4412,1,5,1,1
883,1317,2,3,0,0
884,5461,1,5,1,1
888,3558,2,5,2,1
889,538,1,3,1,1
890,5153,1,5,1,1
891,5781,0,5,0,1
892,3250,2,3,2,1
893,1287,0,2,1,0
894,736,1,2,1,1
896,1397,0,4,0,1
898,6468,0,1,0,1
899,4769,2,5,0,0
900,6187,1,3,0,0
902,5233,0,5,0,1
904,1720,0,5,0,1
905,5066,2,3,2,1
907,6408,2,1,2,1
908,3196,2,4,2,1
909,1561,0,3,0,1
910,5723,1,5,1,1
911,2045,2,4,2,1
913,5002,0,1,0,1
914,4047,0,5,0,1
915,1586,1,3,1,1
916,1263,1,5,2,0
917,5704,1,3,1,1
918,1379,2,4,2,1
920,5767,2,5,2,1
921,921,2,5,2,1
923,852,2,2,2,1
924,4789,2,4,0,0
925,6534,1,3,1,1
926,2954,2,3,2,1
927,585,0,4,0,1
928,3739,1,5,0,0
929,5979,1,5,1,1
931,3308,0,5,0,1
932,2127,1,5,1,1
933,742,1,5,1,1
935,6749,2,5,2,1
936,5510,1,3,1,1
937,1656,0,1,0,1
938,6188,0,5,0,1
939,696,2,2,2,1
940,4515,1,2,0,0
941,2271,0,5,0,1
942,5586,1,3,1,1
943,1783,2,4,1,0
944,5965,0,5,2,0
946,3770,0,1,0,1
948,3872,1,3,1,1
949,3285,0,3,1,0
951,756,0,3,0,1
952,3207,0,5,0,1
953,2499,1,5,1,1
954,5094,0,1,0,1
955,6555,1,5,1,1
956,3601,2,3,0,0
957,5931,0,4,0,1
958,2053,0,4,0,1
959,5224,0,5,0,1
960,3666,2,3,2,1
961,6394,1,3,1,1
962,2986,1,2,1,1
964,5665,0,5,0,1
967,4932,0,5,0,1
968,6508,0,1,0,1
969,4489,1,5,0,0
970,3519,2,5,1,0
971,3274,0,5,0,1
972,5501,1,5,1,1
973,3227,2,5,2,1
974,6380,2,3,2,1
975,6246,1,4,1,1
976,6751,1,5,1,1
977,4697,1,2,2,0
978,198,2,5,2,1
980,635,0,1,2,0
981,309,1,5,1,1
982,23,0,3,1,0
983,299,0,5,0,1
984,593,1,5,1,1
985,298,1,5,1,1
986,485,0,5,0,1
987,625,2,3,0,0
989,778,1,3,1,1
990,631,0,2,2,0
991,464,0,1,0,1
